7/19/12,Victor Menegaux,logo-vm.png,Ace of Base vs. Sublime,Ace of Santeria (Mashup),90s,Mashup,,94,ace-of-santeria-vm-mashup.mp3,ace-of-santeria-vm-mashup.mp3,1,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Lionel Richie,All Night Long (Party Break),80s,Party Break,1983,109,all-night-long-vm-party-break.mp3,all-night-long-vm-party-break.mp3,2,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Heart,Alone (QH),Rock,Quick Hitter,1987,90,alone-vm-qh.mp3,alone-vm-qh.mp3,3,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Crazytown,Butterfly (Edit),00s,,2001,103,butterfly-vm-edit.mp3,butterfly-vm-edit.mp3,4,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Blessid Union of Soul,Hey Leonardo (SE),90s,,1999,103,hey-leonardo-vm-se-bar-banger.mp3,hey-leonardo-vm-se-bar-banger.mp3,5,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Weezer,Island in the Sun (SE),Alternative,,2001,115,island-in-the-sun-vm-se.mp3,island-in-the-sun-vm-se.mp3,6,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Radiohead,Karma Police (SE),Alternative,,1997,80,karma-police-vm-se.mp3,karma-police-vm-se.mp3,7,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Tom Cochrane,Life is a Highway (QH),90s,Quick Hitter,1991,103,life-is-a-highway-vm-qh-bar-banger.mp3,life-is-a-highway-vm-qh-bar-banger.mp3,8,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Lil Wayne vs. Gyote,Lollipop I Used To Know (Mashup),,Mashup,,74,lollipop-i-used-to-know-vm-mashup.mp3,lollipop-i-used-to-know-vm-mashup.mp3,9,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Heart,Magic Man (SE),Rock,,1976,100,magic-man-vm-se.mp3,magic-man-vm-se.mp3,10,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Nirvana,The Man Who Sold The World (QH),Alternative,Quick Hitter,1993,119,the-man-who-sold-the-world-vm-qh.mp3,the-man-who-sold-the-world-vm-qh.mp3,11,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Kelly Clarkson,Stronger (What Doesnt Kill You) (SE),10s,,2012,116,what-doesnt-kill-you-vm-se.mp3,what-doesnt-kill-you-vm-se.mp3,12,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Victor Menegaux,Hood To House (97-128 BPM),,Transition,,97,vm-hood-to-house-transition-97-128.mp3,vm-hood-to-house-transition-97-128.mp3,13,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Donna Summer,She Works Hard For The Money (SE),80s,,1983,136,she-works-hard-for-the-money-vm-se.mp3,she-works-hard-for-the-money-vm-se.mp3,14,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Wham,Wake Me Up Before You Go-Go (QH),80s,Quick Hitter,1984,80,wake-me-up-before-you-go-go-vm-qh.mp3,wake-me-up-before-you-go-go-vm-qh.mp3,15,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,Tina Turner,Whats Love Got To Do With It (Zimmer Rewerk) (SE),80s,Remix,1984,110,whats-love-got-to-do-zimmer-rework-vm-se.mp3,whats-love-got-to-do-zimmer-rework-vm-se.mp3,16,,0,,,,
7/19/12,Victor Menegaux,logo-vm.png,J. Cole,Work Out (Overwerk Remix) (SE),R&B,Remix,2011,110,work-out-overwerk-remix-vm-se.mp3,work-out-overwerk-remix-vm-se.mp3,17,,0,,,,
7/22/12,DJ Marty Mar,logo-djmartymar.png,Marvin Gaye & Tammi Terrell,Aint No Mountain High Enough (DJ Nova Bmore Remix) (SE),60s,Remix,1967,130,aint-no-mountain-high-enough-nova-bmore-remix-se-marty-mar-edit.mp3,aint-no-mountain-high-enough-nova-bmore-remix-se-marty-mar-edit.mp3,18,,0,,,,
